rfid,subid,name,long,lat,area,perim,bleach,blchyn,year
18100,S,NA,147.74,-18.92,NA,NA,5,0,1998
18100,S,NA,147.72,-18.87,NA,NA,4,1,1998
18101,S,Judith Wright Reef,147.96,-18.9,0.001689249,0.194008232,3,1,1998
18101,S,Judith Wright Reef,147.96,-18.9,0.001689249,0.194008232,4,1,1998
18106,S,(Little) Broadhurst Reef,147.7,-18.97,0.001119397,0.123403694,5,0,1998
18118,S,Shrimp Reef,148.08,-18.95,0.000643366,0.103042243,4,1,1998
19002,S,Herald Island Reef,146.63,-19.03,2.39E-05,0.022966967,1,1,1998
19005,S,Paluma Shoals,146.56,-19.1,0.000108657,0.047341644,2,1,1998
19007,S,Bay Rock Reef,146.76,-19.12,6.85E-07,0.006836662,1,1,1998
19009,B,Magnetic Island Reef (No 1),146.85,-19.17,5.21E-05,0.055930385,3,1,1998
19009,C,Magnetic Island Reef (No 2),146.87,-19.16,3.49E-05,0.036463085,2,1,1998
19010,S,U/N Reef,146.84,-19.19,2.83E-05,0.023110608,2,1,1998
19011,S,Middle Reef,146.81,-19.2,3.49E-05,0.027208094,2,1,1998
19012,S,Virago Shoal,146.8,-19.21,3.67E-05,0.022455348,1,1,1998
19013,S,Salamander Reef,147.06,-19.18,1.08E-05,0.012013693,1,1,1998
19017,S,Bare Reef,147.07,-19.26,5.02E-06,0.010940458,2,1,1998
19019,S,Bowden Reef,147.93,-19.04,0.000833679,0.115633608,5,0,1998
19024,S,Prawn Reef,148.11,-19.02,0.001104778,0.177441981,4,1,1998
19025,S,Castor Reef,148.32,-19.02,0.000342767,0.078073157,5,0,1998
19028,S,Shell Reef,148.18,-19.07,0.000230338,0.063397121,5,0,1998
19029,S,Mid Reef,148.08,-19.07,0.000574392,0.109428724,5,0,1998
19038,B,Dingo Reef (No 2),148.38,-19.18,0.005463285,0.339099709,4,1,1998
19038,F,Dingo Reef (No 6),148.47,-19.13,0.005823402,0.370591565,5,0,1998
19043,S,Darley Reef,148.17,-19.21,0.00704592,0.531507066,3,1,1998
19044,S,Faith Reef,148.35,-19.28,0.000316249,0.065194064,4,1,1998
19045,S,Stanley Reef,148.08,-19.3,0.005027448,0.360639055,5,0,1998
19046,S,Hope Reef,148.43,-19.32,0.000320724,0.068620413,4,1,1998
19047,S,Charity Reef,148.34,-19.37,0.000348119,0.068368184,4,1,1998
19048,S,Old Reef,148.09,-19.39,0.005617876,0.342607918,5,0,1998
19054,S,Tiger Reef,148.54,-19.21,0.003718157,0.369369612,4,1,1998
19063,A,Kangaroo Reef (East),148.63,-19.26,0.006457828,0.479938146,4,1,1998
19063,B,Kangaroo Reef (West),148.55,-19.26,0.000204735,0.059250331,5,0,1998
19066,S,U/N Reef,148.63,-19.34,0.000126533,0.04744634,3,1,1998
19067,S,U/N Reef,148.64,-19.36,9.32E-05,0.038440543,3,1,1998
19071,S,Wallaby Reef,148.66,-19.43,0.003910275,0.271651076,5,0,1998
19072,A,Gould Reef (No 1),148.78,-19.4,0.003703965,0.387328816,5,0,1998
19072,C,Gould Reef (No 3),148.74,-19.5,0.002903907,0.227813776,4,1,1998
19072,D,Gould Reef (No 4),148.78,-19.5,0.002206854,0.188667251,4,1,1998
19074,A,Cobham Reef (North),148.87,-19.4,0.004647918,0.347933608,5,0,1998
19075,S,Martin Reef,148.82,-19.48,0.000623728,0.105532951,5,0,1998
19076,S,Showers Reef,148.9,-19.49,0.000725148,0.104802515,5,0,1998
19096,S,Kennedy Reef,149.17,-19.47,0.00543807,0.384165605,4,1,1998
19100,S,White Topped Reef,147.75,-19.71,8.58E-06,0.012011171,1,1,1998
19101,S,U/N Reef,147.76,-19.73,2.39E-05,0.021635157,1,1,1998
19101,S,U/N Reef,147.76,-19.73,2.39E-05,0.021635157,1,1,1998
19102,S,Camp Reef,147.89,-19.86,3.53E-05,0.028934721,1,1,1998
19103,S,Holbourne Island Reef (No 1),148.36,-19.73,1.90E-05,0.025223454,5,0,1998
19103,S,Holbourne Island Reef (No 2),148.36,-19.73,5.98E-06,0.016280629,5,0,1998
19105,S,NA,148.27,-19.97,NA,NA,5,0,1998
19106,S,Middle Island Reef,148.36,-19.98,2.58E-05,0.056285087,1,1,1998
19107,S,Seagull Reef,148.98,-19.53,0.001262084,0.165066281,5,0,1998
19108,S,U/N Reef,148.88,-19.53,0.000127963,0.056751694,5,0,1998
